Year,Month,Subscribers as of Month
2017,July,460000
2017,August,580000
2017,September,700000
2017,October,760000
2017,November,1300000
2017,December,1360000
2018,January,1580000
2018,February,1500000
2018,March,1750000
2018,April,2430000
2018,May,2560000
2018,June,3130000
2018,July,2940000
2018,August,3250000
2018,September,3430000
2018,October,3410000
2018,November,4010000
2018,December,4770000
2019,January,5070000
2019,February,5320000
2019,March,5340000
2019,April,5800000
2019,May,6650000
2019,June,7760000
2019,July,7920000
2019,August,7870000
2019,September,8780000
2019,October,9070000
2019,November,9390000
2019,December,11250000